CLAVE,UBICACIÓN,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021,P020,P021A,P031E,P031,D002,D012,D001,D004,D006,D005
1,OFICINAS,4999.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.54,0,133.48,0,0,0
26,OFICINAS,8749.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.58,157.09,0,0,0,0,0,0,1355.29,0,258.55,0,0,0
25,OFICINAS,25000.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5684.67,0,688.12,0,0,0
9,OFICINAS,3499.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.1,0,0,151.65,7.29,93.07,0,0,0
2,OFICINAS,4000.05,0,0,0,0,0,0,0,0,0,0,0,1368,0,0,0,0,0,133.34,0,0,0,0,0,0,0,599.36,4.44,139.11,0,0,0
3,OFICINAS,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,-34.03,0,174.78,0,0,0,0,57.88,0,0,0
13,OFICINAS,2075,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,125.1,0,0,107.59,0,69.01,0,0,0
14,OFICINAS,1625,0,450,112.5,0,0,0,0,0,0,0,0,5675,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.14,0,238.91,18.75,0,0
43,OFICINAS,3499.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.1,0,0,151.65,0,94.7,0,0,0
19,OFICINAS,1999.95,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.54,0,134,0,0,0
5,OFICINAS,2499.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.3,0,0,7.65,36.11,63.73,0,0,0
6,OFICINAS,2875.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.84,0,0,0,0,145.38,0,0,63.38,17.97,74.31,0,0,0
44,OFICINAS,1999.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.69,0,188.71,0,0,0,0,49.65,0,0,0
